split,clip_name,relative_clip_path,video_name,segment_index,clip_index_in_segment,start_time_sec,end_time_sec,duration_sec,state,source_segment_start_sec,source_segment_end_sec,status
train,v01_s0007_c002_sewing_000095500_000097000.mp4,train/sewing/v01_s0007_c002_sewing_000095500_000097000.mp4,v01.mp4,7,2,95.500,97.000,1.500,SEWING,93.000,112.500,GENERATED
train,v01_s0007_c003_sewing_000098000_000099500.mp4,train/sewing/v01_s0007_c003_sewing_000098000_000099500.mp4,v01.mp4,7,3,98.000,99.500,1.500,SEWING,93.000,112.500,GENERATED
train,v01_s0007_c004_sewing_000100500_000102000.mp4,train/sewing/v01_s0007_c004_sewing_000100500_000102000.mp4,v01.mp4,7,4,100.500,102.000,1.500,SEWING,93.000,112.500,GENERATED
train,v01_s0007_c005_sewing_000103000_000104500.mp4,train/sewing/v01_s0007_c005_sewing_000103000_000104500.mp4,v01.mp4,7,5,103.000,104.500,1.500,SEWING,93.000,112.500,GENERATED
train,v01_s0007_c006_sewing_000105500_000107000.mp4,train/sewing/v01_s0007_c006_sewing_000105500_000107000.mp4,v01.mp4,7,6,105.500,107.000,1.500,SEWING,93.000,112.500,GENERATED
train,v01_s0007_c007_sewing_000108000_000109500.mp4,train/sewing/v01_s0007_c007_sewing_000108000_000109500.mp4,v01.mp4,7,7,108.000,109.500,1.500,SEWING,93.000,112.500,GENERATED
train,v01_s0007_c008_sewing_000110500_000112000.mp4,train/sewing/v01_s0007_c008_sewing_000110500_000112000.mp4,v01.mp4,7,8,110.500,112.000,1.500,SEWING,93.000,112.500,GENERATED
train,v01_s0008_c001_idle_setup_000112500_000114000.mp4,train/idle_setup/v01_s0008_c001_idle_setup_000112500_000114000.mp4,v01.mp4,8,1,112.500,114.000,1.500,IDLE_SETUP,112.500,120.000,GENERATED
train,v01_s0008_c002_idle_setup_000113500_000115000.mp4,train/idle_setup/v01_s0008_c002_idle_setup_000113500_000115000.mp4,v01.mp4,8,2,113.500,115.000,1.500,IDLE_SETUP,112.500,120.000,GENERATED
train,v01_s0008_c003_idle_setup_000114500_000116000.mp4,train/idle_setup/v01_s0008_c003_idle_setup_000114500_000116000.mp4,v01.mp4,8,3,114.500,116.000,1.500,IDLE_SETUP,112.500,120.000,GENERATED
train,v01_s0008_c004_idle_setup_000115500_000117000.mp4,train/idle_setup/v01_s0008_c004_idle_setup_000115500_000117000.mp4,v01.mp4,8,4,115.500,117.000,1.500,IDLE_SETUP,112.500,120.000,GENERATED
train,v01_s0008_c005_idle_setup_000116500_000118000.mp4,train/idle_setup/v01_s0008_c005_idle_setup_000116500_000118000.mp4,v01.mp4,8,5,116.500,118.000,1.500,IDLE_SETUP,112.500,120.000,GENERATED
train,v01_s0008_c006_idle_setup_000117500_000119000.mp4,train/idle_setup/v01_s0008_c006_idle_setup_000117500_000119000.mp4,v01.mp4,8,6,117.500,119.000,1.500,IDLE_SETUP,112.500,120.000,GENERATED
train,v01_s0008_c007_idle_setup_000118500_000120000.mp4,train/idle_setup/v01_s0008_c007_idle_setup_000118500_000120000.mp4,v01.mp4,8,7,118.500,120.000,1.500,IDLE_SETUP,112.500,120.000,GENERATED
train,v01_s0009_c001_sewing_000120000_000121500.mp4,train/sewing/v01_s0009_c001_sewing_000120000_000121500.mp4,v01.mp4,9,1,120.000,121.500,1.500,SEWING,120.000,143.000,GENERATED
train,v01_s0009_c002_sewing_000122500_000124000.mp4,train/sewing/v01_s0009_c002_sewing_000122500_000124000.mp4,v01.mp4,9,2,122.500,124.000,1.500,SEWING,120.000,143.000,GENERATED
train,v01_s0009_c003_sewing_000125000_000126500.mp4,train/sewing/v01_s0009_c003_sewing_000125000_000126500.mp4,v01.mp4,9,3,125.000,126.500,1.500,SEWING,120.000,143.000,GENERATED
train,v01_s0009_c004_sewing_000127500_000129000.mp4,train/sewing/v01_s0009_c004_sewing_000127500_000129000.mp4,v01.mp4,9,4,127.500,129.000,1.500,SEWING,120.000,143.000,GENERATED
train,v01_s0009_c005_sewing_000130000_000131500.mp4,train/sewing/v01_s0009_c005_sewing_000130000_000131500.mp4,v01.mp4,9,5,130.000,131.500,1.500,SEWING,120.000,143.000,GENERATED
train,v01_s0009_c006_sewing_000132500_000134000.mp4,train/sewing/v01_s0009_c006_sewing_000132500_000134000.mp4,v01.mp4,9,6,132.500,134.000,1.500,SEWING,120.000,143.000,GENERATED
train,v01_s0009_c007_sewing_000135000_000136500.mp4,train/sewing/v01_s0009_c007_sewing_000135000_000136500.mp4,v01.mp4,9,7,135.000,136.500,1.500,SEWING,120.000,143.000,GENERATED
train,v01_s0009_c008_sewing_000137500_000139000.mp4,train/sewing/v01_s0009_c008_sewing_000137500_000139000.mp4,v01.mp4,9,8,137.500,139.000,1.500,SEWING,120.000,143.000,GENERATED
train,v01_s0009_c009_sewing_000140000_000141500.mp4,train/sewing/v01_s0009_c009_sewing_000140000_000141500.mp4,v01.mp4,9,9,140.000,141.500,1.500,SEWING,120.000,143.000,GENERATED
train,v01_s0010_c001_idle_setup_000143000_000144500.mp4,train/idle_setup/v01_s0010_c001_idle_setup_000143000_000144500.mp4,v01.mp4,10,1,143.000,144.500,1.500,IDLE_SETUP,143.000,153.000,GENERATED
train,v01_s0010_c002_idle_setup_000144000_000145500.mp4,train/idle_setup/v01_s0010_c002_idle_setup_000144000_000145500.mp4,v01.mp4,10,2,144.000,145.500,1.500,IDLE_SETUP,143.000,153.000,GENERATED
train,v01_s0010_c003_idle_setup_000145000_000146500.mp4,train/idle_setup/v01_s0010_c003_idle_setup_000145000_000146500.mp4,v01.mp4,10,3,145.000,146.500,1.500,IDLE_SETUP,143.000,153.000,GENERATED
train,v01_s0010_c004_idle_setup_000146000_000147500.mp4,train/idle_setup/v01_s0010_c004_idle_setup_000146000_000147500.mp4,v01.mp4,10,4,146.000,147.500,1.500,IDLE_SETUP,143.000,153.000,GENERATED
train,v01_s0010_c005_idle_setup_000147000_000148500.mp4,train/idle_setup/v01_s0010_c005_idle_setup_000147000_000148500.mp4,v01.mp4,10,5,147.000,148.500,1.500,IDLE_SETUP,143.000,153.000,GENERATED
train,v01_s0010_c006_idle_setup_000148000_000149500.mp4,train/idle_setup/v01_s0010_c006_idle_setup_000148000_000149500.mp4,v01.mp4,10,6,148.000,149.500,1.500,IDLE_SETUP,143.000,153.000,GENERATED
train,v01_s0010_c007_idle_setup_000149000_000150500.mp4,train/idle_setup/v01_s0010_c007_idle_setup_000149000_000150500.mp4,v01.mp4,10,7,149.000,150.500,1.500,IDLE_SETUP,143.000,153.000,GENERATED
train,v01_s0010_c008_idle_setup_000150000_000151500.mp4,train/idle_setup/v01_s0010_c008_idle_setup_000150000_000151500.mp4,v01.mp4,10,8,150.000,151.500,1.500,IDLE_SETUP,143.000,153.000,GENERATED
train,v01_s0010_c009_idle_setup_000151000_000152500.mp4,train/idle_setup/v01_s0010_c009_idle_setup_000151000_000152500.mp4,v01.mp4,10,9,151.000,152.500,1.500,IDLE_SETUP,143.000,153.000,GENERATED
train,v01_s0011_c001_sewing_000153000_000154500.mp4,train/sewing/v01_s0011_c001_sewing_000153000_000154500.mp4,v01.mp4,11,1,153.000,154.500,1.500,SEWING,153.000,173.000,GENERATED
train,v01_s0011_c002_sewing_000155500_000157000.mp4,train/sewing/v01_s0011_c002_sewing_000155500_000157000.mp4,v01.mp4,11,2,155.500,157.000,1.500,SEWING,153.000,173.000,GENERATED
train,v01_s0011_c003_sewing_000158000_000159500.mp4,train/sewing/v01_s0011_c003_sewing_000158000_000159500.mp4,v01.mp4,11,3,158.000,159.500,1.500,SEWING,153.000,173.000,GENERATED
train,v01_s0011_c004_sewing_000160500_000162000.mp4,train/sewing/v01_s0011_c004_sewing_000160500_000162000.mp4,v01.mp4,11,4,160.500,162.000,1.500,SEWING,153.000,173.000,GENERATED
train,v01_s0011_c005_sewing_000163000_000164500.mp4,train/sewing/v01_s0011_c005_sewing_000163000_000164500.mp4,v01.mp4,11,5,163.000,164.500,1.500,SEWING,153.000,173.000,GENERATED
train,v01_s0011_c006_sewing_000165500_000167000.mp4,train/sewing/v01_s0011_c006_sewing_000165500_000167000.mp4,v01.mp4,11,6,165.500,167.000,1.500,SEWING,153.000,173.000,GENERATED
train,v01_s0011_c007_sewing_000168000_000169500.mp4,train/sewing/v01_s0011_c007_sewing_000168000_000169500.mp4,v01.mp4,11,7,168.000,169.500,1.500,SEWING,153.000,173.000,GENERATED
train,v01_s0011_c008_sewing_000170500_000172000.mp4,train/sewing/v01_s0011_c008_sewing_000170500_000172000.mp4,v01.mp4,11,8,170.500,172.000,1.500,SEWING,153.000,173.000,GENERATED
train,v01_s0012_c001_idle_setup_000173000_000174500.mp4,train/idle_setup/v01_s0012_c001_idle_setup_000173000_000174500.mp4,v01.mp4,12,1,173.000,174.500,1.500,IDLE_SETUP,173.000,183.000,GENERATED
train,v01_s0012_c002_idle_setup_000174000_000175500.mp4,train/idle_setup/v01_s0012_c002_idle_setup_000174000_000175500.mp4,v01.mp4,12,2,174.000,175.500,1.500,IDLE_SETUP,173.000,183.000,GENERATED
train,v01_s0012_c003_idle_setup_000175000_000176500.mp4,train/idle_setup/v01_s0012_c003_idle_setup_000175000_000176500.mp4,v01.mp4,12,3,175.000,176.500,1.500,IDLE_SETUP,173.000,183.000,GENERATED
train,v01_s0012_c004_idle_setup_000176000_000177500.mp4,train/idle_setup/v01_s0012_c004_idle_setup_000176000_000177500.mp4,v01.mp4,12,4,176.000,177.500,1.500,IDLE_SETUP,173.000,183.000,GENERATED
train,v01_s0012_c005_idle_setup_000177000_000178500.mp4,train/idle_setup/v01_s0012_c005_idle_setup_000177000_000178500.mp4,v01.mp4,12,5,177.000,178.500,1.500,IDLE_SETUP,173.000,183.000,GENERATED
train,v01_s0012_c006_idle_setup_000178000_000179500.mp4,train/idle_setup/v01_s0012_c006_idle_setup_000178000_000179500.mp4,v01.mp4,12,6,178.000,179.500,1.500,IDLE_SETUP,173.000,183.000,GENERATED
train,v01_s0012_c007_idle_setup_000179000_000180500.mp4,train/idle_setup/v01_s0012_c007_idle_setup_000179000_000180500.mp4,v01.mp4,12,7,179.000,180.500,1.500,IDLE_SETUP,173.000,183.000,GENERATED
train,v01_s0012_c008_idle_setup_000180000_000181500.mp4,train/idle_setup/v01_s0012_c008_idle_setup_000180000_000181500.mp4,v01.mp4,12,8,180.000,181.500,1.500,IDLE_SETUP,173.000,183.000,GENERATED
train,v01_s0012_c009_idle_setup_000181000_000182500.mp4,train/idle_setup/v01_s0012_c009_idle_setup_000181000_000182500.mp4,v01.mp4,12,9,181.000,182.500,1.500,IDLE_SETUP,173.000,183.000,GENERATED
train,v01_s0013_c001_sewing_000183000_000184500.mp4,train/sewing/v01_s0013_c001_sewing_000183000_000184500.mp4,v01.mp4,13,1,183.000,184.500,1.500,SEWING,183.000,206.000,GENERATED
train,v01_s0013_c002_sewing_000185500_000187000.mp4,train/sewing/v01_s0013_c002_sewing_000185500_000187000.mp4,v01.mp4,13,2,185.500,187.000,1.500,SEWING,183.000,206.000,GENERATED
train,v01_s0013_c003_sewing_000188000_000189500.mp4,train/sewing/v01_s0013_c003_sewing_000188000_000189500.mp4,v01.mp4,13,3,188.000,189.500,1.500,SEWING,183.000,206.000,GENERATED
train,v01_s0013_c004_sewing_000190500_000192000.mp4,train/sewing/v01_s0013_c004_sewing_000190500_000192000.mp4,v01.mp4,13,4,190.500,192.000,1.500,SEWING,183.000,206.000,GENERATED
train,v01_s0013_c005_sewing_000193000_000194500.mp4,train/sewing/v01_s0013_c005_sewing_000193000_000194500.mp4,v01.mp4,13,5,193.000,194.500,1.500,SEWING,183.000,206.000,GENERATED
train,v01_s0013_c006_sewing_000195500_000197000.mp4,train/sewing/v01_s0013_c006_sewing_000195500_000197000.mp4,v01.mp4,13,6,195.500,197.000,1.500,SEWING,183.000,206.000,GENERATED
train,v01_s0013_c007_sewing_000198000_000199500.mp4,train/sewing/v01_s0013_c007_sewing_000198000_000199500.mp4,v01.mp4,13,7,198.000,199.500,1.500,SEWING,183.000,206.000,GENERATED
train,v01_s0013_c008_sewing_000200500_000202000.mp4,train/sewing/v01_s0013_c008_sewing_000200500_000202000.mp4,v01.mp4,13,8,200.500,202.000,1.500,SEWING,183.000,206.000,GENERATED
train,v01_s0013_c009_sewing_000203000_000204500.mp4,train/sewing/v01_s0013_c009_sewing_000203000_000204500.mp4,v01.mp4,13,9,203.000,204.500,1.500,SEWING,183.000,206.000,GENERATED
train,v01_s0014_c001_idle_setup_000206000_000207500.mp4,train/idle_setup/v01_s0014_c001_idle_setup_000206000_000207500.mp4,v01.mp4,14,1,206.000,207.500,1.500,IDLE_SETUP,206.000,217.000,GENERATED
train,v01_s0014_c002_idle_setup_000207000_000208500.mp4,train/idle_setup/v01_s0014_c002_idle_setup_000207000_000208500.mp4,v01.mp4,14,2,207.000,208.500,1.500,IDLE_SETUP,206.000,217.000,GENERATED
train,v01_s0014_c003_idle_setup_000208000_000209500.mp4,train/idle_setup/v01_s0014_c003_idle_setup_000208000_000209500.mp4,v01.mp4,14,3,208.000,209.500,1.500,IDLE_SETUP,206.000,217.000,GENERATED
train,v01_s0014_c004_idle_setup_000209000_000210500.mp4,train/idle_setup/v01_s0014_c004_idle_setup_000209000_000210500.mp4,v01.mp4,14,4,209.000,210.500,1.500,IDLE_SETUP,206.000,217.000,GENERATED
train,v01_s0014_c005_idle_setup_000210000_000211500.mp4,train/idle_setup/v01_s0014_c005_idle_setup_000210000_000211500.mp4,v01.mp4,14,5,210.000,211.500,1.500,IDLE_SETUP,206.000,217.000,GENERATED
train,v01_s0014_c006_idle_setup_000211000_000212500.mp4,train/idle_setup/v01_s0014_c006_idle_setup_000211000_000212500.mp4,v01.mp4,14,6,211.000,212.500,1.500,IDLE_SETUP,206.000,217.000,GENERATED
train,v01_s0014_c007_idle_setup_000212000_000213500.mp4,train/idle_setup/v01_s0014_c007_idle_setup_000212000_000213500.mp4,v01.mp4,14,7,212.000,213.500,1.500,IDLE_SETUP,206.000,217.000,GENERATED
train,v01_s0014_c008_idle_setup_000213000_000214500.mp4,train/idle_setup/v01_s0014_c008_idle_setup_000213000_000214500.mp4,v01.mp4,14,8,213.000,214.500,1.500,IDLE_SETUP,206.000,217.000,GENERATED
train,v01_s0014_c009_idle_setup_000214000_000215500.mp4,train/idle_setup/v01_s0014_c009_idle_setup_000214000_000215500.mp4,v01.mp4,14,9,214.000,215.500,1.500,IDLE_SETUP,206.000,217.000,GENERATED
train,v01_s0014_c010_idle_setup_000215000_000216500.mp4,train/idle_setup/v01_s0014_c010_idle_setup_000215000_000216500.mp4,v01.mp4,14,10,215.000,216.500,1.500,IDLE_SETUP,206.000,217.000,GENERATED
train,v01_s0015_c001_sewing_000217000_000218500.mp4,train/sewing/v01_s0015_c001_sewing_000217000_000218500.mp4,v01.mp4,15,1,217.000,218.500,1.500,SEWING,217.000,239.000,GENERATED
train,v01_s0015_c002_sewing_000219500_000221000.mp4,train/sewing/v01_s0015_c002_sewing_000219500_000221000.mp4,v01.mp4,15,2,219.500,221.000,1.500,SEWING,217.000,239.000,GENERATED
train,v01_s0015_c003_sewing_000222000_000223500.mp4,train/sewing/v01_s0015_c003_sewing_000222000_000223500.mp4,v01.mp4,15,3,222.000,223.500,1.500,SEWING,217.000,239.000,GENERATED
train,v01_s0015_c004_sewing_000224500_000226000.mp4,train/sewing/v01_s0015_c004_sewing_000224500_000226000.mp4,v01.mp4,15,4,224.500,226.000,1.500,SEWING,217.000,239.000,GENERATED
train,v01_s0015_c005_sewing_000227000_000228500.mp4,train/sewing/v01_s0015_c005_sewing_000227000_000228500.mp4,v01.mp4,15,5,227.000,228.500,1.500,SEWING,217.000,239.000,GENERATED
train,v01_s0015_c006_sewing_000229500_000231000.mp4,train/sewing/v01_s0015_c006_sewing_000229500_000231000.mp4,v01.mp4,15,6,229.500,231.000,1.500,SEWING,217.000,239.000,GENERATED
train,v01_s0015_c007_sewing_000232000_000233500.mp4,train/sewing/v01_s0015_c007_sewing_000232000_000233500.mp4,v01.mp4,15,7,232.000,233.500,1.500,SEWING,217.000,239.000,GENERATED
